Position,Games,FantasyPoints,PlayerID,AvgFPPG
WR,3,0.0,david sills0,0.0
WR,6,0.0,dareke young0,0.0
RB,1,0.0,owen wright0,0.0
QB,1,0.0,logan woodside0,0.0
WR,1,0.0,easop winston0,0.0
WR,8,0.0,juwann winfree0,0.0
TE,13,0.0,rodney williams0,0.0
RB,1,0.0,jonathan williams0,0.0
TE,7,0.0,brayden willis0,0.0
TE,1,0.0,dalton keene0,0.0
TE,2,0.0,blake whiteheart0,0.0
WR,6,0.0,montrell washington0,0.0
RB,13,0.0,dwayne washington0,0.0
TE,2,0.0,travis vokolek0,0.0
TE,8,0.0,nick vannett0,0.0
RB,1,0.0,xazavian valladay0,0.0
WR,10,0.0,dj turner0,0.0
QB,2,0.0,kyle trask0,0.0
TE,1,0.0,noah togiai0,0.0
WR,2,0.0,mitchell tinsley0,0.0
RB,1,0.0,sarodorick thompson0,0.0
TE,3,0.0,matt sokol0,0.0
WR,1,0.0,tre'quan smith0,0.0
WR,16,0.0,matthew slater0,0.0
TE,8,0.0,tyler kroft0,0.0
WR,2,0.0,jacob harris0,0.0
TE,1,0.0,hunter kampmoyer0,0.0
WR,2,0.0,phillip dorsett0,0.0
WR,1,0.0,johnny johnson0,0.0
WR,1,0.0,frank darby0,0.0
TE,3,0.0,darrell daniels0,0.0
QB,2,0.0,malik cunningham0,0.0
TE,3,0.0,tanner conner0,0.0
RB,3,0.0,corey clement0,0.0
WR,4,0.0,dan chisena0,0.0
RB,3,0.0,julius chestnut0,0.0
WR,12,0.0,irvin charles0,0.0
TE,1,0.0,stephen carlson0,0.0
WR,3,0.0,marquez callaway0,0.0
FB,4,0.0,jason cabinda0,0.0
WR,1,0.0,damiere byrd0,0.0
WR,1,0.0,terrell bynum0,0.0
TE,1,0.0,matt bushman0,0.0
QB,1,0.0,teddy bridgewater0,0.0
WR,1,0.0,chris blair0,0.0
FB,16,0.0,nick bellore0,0.0
QB,1,0.0,matt barkley0,0.0
WR,1,0.0,michael bandy0,0.0
WR,5,0.0,andre baccellia0,0.0
TE,3,0.0,stephen anderson0,0.0
WR,2,0.0,devon allen0,0.0
RB,3,0.0,malik davis0,0.0
WR,1,0.0,jaelon darden0,0.0
WR,10,0.0,colton dowell0,0.0
TE,3,0.0,parker hesse0,0.0
TE,2,0.0,tyree jackson0,0.0
WR,5,0.0,shedrick jackson0,0.0
WR,3,0.0,lucky jackson0,0.0
WR,2,0.0,kearis jackson0,0.0
WR,2,0.0,andy isabella0,0.0
RB,12,0.0,godwin igwebuike0,0.0
RB,1,0.0,mohamed ibrahim0,0.0
TE,13,0.0,jesper horsted0,0.0
RB,16,0.0,travis homer0,0.0
WR,1,0.0,dylan drummond0,0.0
TE,1,0.0,j.p. holtz0,0.0
RB,5,0.0,jamycal hasty0,0.0
WR,9,0.0,n'keal harry0,0.0
WR,9,0.0,antoine green0,0.0
FB,17,0.0,reggie gilliam0,0.0
TE,1,0.0,zach gentry0,0.0
RB,3,0.0,myles gaskin0,0.0
WR,1,0.0,dez fitzpatrick0,0.0
TE,2,0.0,anthony firkser0,0.0
WR,3,0.0,ethan fernea0,0.0
TE,2,0.0,princeton fant0,0.0
QB,1,0.0,sam ehlinger0,0.0
WR,17,-2.0,trent taylor0,-0.11764705882352941
QB,7,-1.0,kyle allen0,-0.14285714285714285
TE,5,-1.0,david wells0,-0.2
WR,10,-2.0,james proche0,-0.2
RB,4,-1.0,deon jackson0,-0.25
